full_name,id,position,photo_url
Simone Fontecchio,fda266ab-06e1-4591-80fa-73f027979b63,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/fda266ab-06e1-4591-80fa-73f027979b63/300x300-crop.png
Bryn Forbes,ca784446-05be-4f5e-8108-d7bb1736005a,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ca784446-05be-4f5e-8108-d7bb1736005a/300x300-crop.png
Jordan Ford,2dc2237f-c0ec-402c-b607-11f049a26894,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2dc2237f-c0ec-402c-b607-11f049a26894/300x300-crop.png
Aleem Ford,0a491a19-1d8b-4ebd-8cff-694dfcd920b4,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/0a491a19-1d8b-4ebd-8cff-694dfcd920b4/300x300-crop.png
Trent Forrest,d1490593-3d95-4ad6-9890-b6e8c97836e0,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d1490593-3d95-4ad6-9890-b6e8c97836e0/300x300-crop.png
Michael Foster Jr.,53079a42-5241-4e0f-a625-12dfe416cd8d,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/53079a42-5241-4e0f-a625-12dfe416cd8d/300x300-crop.png
Evan Fournier,b736d95c-8474-48b2-9000-24ce926eace3,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b736d95c-8474-48b2-9000-24ce926eace3/300x300-crop.png
De'Aaron Fox,cfc1e41b-74ab-45ee-8132-aaf9ca7f8163,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/cfc1e41b-74ab-45ee-8132-aaf9ca7f8163/300x300-crop.png
Armaan Franklin,aa0412aa-08a6-4e8a-b013-7e8e4cae6f0e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/aa0412aa-08a6-4e8a-b013-7e8e4cae6f0e/300x300-crop.png
Robert Franks,f7b32d8e-c431-4d67-a5a1-38cbdf56f3c3,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/f7b32d8e-c431-4d67-a5a1-38cbdf56f3c3/300x300-crop.png
