minutes,points,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,flagrant_fouls,blocked_att,field_goals_made,field_goals_att,three_points_made,three_points_att,free_throws_made,free_throws_att,two_points_made,two_points_att,efficiency,true_shooting_att,points_off_turnovers,points_in_paint_made,points_in_paint_att,points_in_paint,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,second_chance_pts,second_chance_att,second_chance_made,player_id
19.3,6.7,0.9,2.56,3.47,1.5,0.45,0.32,0.87,2.16,0.0,0.18,2.39,5.06,1.18,3.21,0.74,0.97,1.21,1.85,8.71,5.49,0.45,1.16,1.71,2.32,1.1,0.1,0.69,0.48,0.29,0.61,0.6,0.19,52d1f182-9da7-4b69-a310-4783a8c25f4f
2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6bc71e02-9a03-40db-aed4-332ab5193336
11.6,3.9,1.055,2.215,3.2750000000000004,0.75,0.195,0.71,0.8799999999999999,2.04,0.0,0.185,1.5,2.835,0.145,0.39499999999999996,0.76,1.165,1.36,2.4450000000000003,6.180000000000001,3.35,0.61,1.315,2.335,2.625,0.9750000000000001,0.31,0.39499999999999996,0.145,0.145,0.875,0.51,0.35,2facd6c5-10c6-4481-a20f-a885b3f84460
25.0,8.0,1.0,1.33,2.33,1.0,0.33,0.67,0.67,2.67,0.0,0.0,3.0,6.67,2.0,4.0,0.0,0.67,1.0,2.67,7.33,6.96,0.67,1.0,2.0,2.0,0.67,0.0,1.67,0.67,0.67,0.67,1.0,0.33,cba64aec-adb0-4ff4-a59f-fa3fd61418d7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf5246b5-714f-4a4c-8d3f-c4f5891b6fb6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51ee792b-20c1-4ce5-b123-53fa05cb943e
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b3809240-3430-485e-822a-c59be7b2c63c
10.4,2.4,0.29,1.64,1.93,0.5,0.57,0.29,0.79,1.43,0.0,0.14,0.86,2.5,0.29,1.0,0.43,0.71,0.57,1.5,3.0,2.81,0.29,0.57,1.5,1.14,1.0,0.07,0.5,0.36,0.21,0.43,0.14,0.14,d21c7f7b-c1aa-4b52-9371-a399cfcabfdd
27.6,9.5,0.47,2.19,2.65,4.5,0.93,0.17,1.68,2.39,0.03,0.33,3.79,8.59,1.23,3.51,0.65,0.83,2.56,5.08,11.11,8.95,1.61,2.03,3.8,4.05,1.56,0.09,1.67,1.09,0.72,0.67,0.65,0.25,02acc094-76ab-4b3e-b51d-a351a9bab6b9
17.9,6.65,0.5549999999999999,2.18,2.73,0.8500000000000001,0.525,0.255,0.8300000000000001,2.315,0.0,0.335,2.3200000000000003,5.725,1.07,3.315,0.945,1.14,1.255,2.41,6.58,6.2299999999999995,1.035,1.055,1.985,2.11,1.185,0.13,1.09,0.72,0.41500000000000004,0.63,0.63,0.235,90d63a71-e4fe-411c-9773-2e74b5e1cb3b
