player_id,full_name,first_name,position,primary_position
f58a9803-0ede-4c0b-acbd-08bc0da229af,,,,
add6e0f2-abec-4eb1-b8f3-535eb68e69c4,,,,
c179fb5c-9845-4e37-aef7-6e00d97548eb,Brook Lopez,Brook,C,C
24c17409-ac10-4859-be6c-59d6cc6b5810,Boban Marjanovic,Boban,C,C
3f98b652-71d4-4a40-949d-41c33dddd15d,Bennedict Mathurin,Bennedict,G-F,SG
3c4a7fda-fca3-4a68-9886-ea7eec4cc2e3,Bryce McGowens,Bryce,G,SG
288a83df-6f23-4d4e-a450-3d494d8ba897,,,,
775e4450-cdcd-43a1-b4cd-dc29fba48503,Brandon Miller,Brandon,F-G,SF
49be9129-da30-4e74-aa60-b1e87582604b,Brandin Podziemski,Brandin,G,SG
68b7aac9-02fd-4bd8-b10c-6702d2c5eb98,Bobby Portis,Bobby,F,PF
e747747c-3053-4ad3-a44d-7ac0b9cbdb4c,Brice Sensabaugh,Brice,F,SF
3b40df6a-55ba-40a2-b6b8-ab8ae114dfc3,Ben Sheppard,Ben,G,SG
318debd7-dab6-4d4e-8849-03c4c701a7c8,Ben Simmons,Ben,G-F,PG
65b811bf-9ab9-409d-a00d-45f1843ae09e,Brodric Thomas,Brodric,G,SG
3c09ef8a-a6f2-4500-9599-ca7bc8d54300,,,,
08baba55-bec0-4494-95ce-28778c37a981,Blake Wesley,Blake,G,SG
c8efed0b-f365-4440-84f7-df8c8078d1c0,Brandon Williams,Brandon,G,PG
7d3ed7a5-b9f4-470c-b75d-bfd00ba02427,Bryson Williams,Bryson,F,NA
073f39b6-b63d-43a4-80f7-95e4b5a16244,,,,
4bce90d5-d5ef-4fe3-b6ce-c974a3d44bdc,,,,
be0b897f-a553-4524-a358-eaa3b445c422,Ibou Badji,Ibou,C,C
e86c1439-4ef0-4530-9c41-c3a682962eb3,Marvin Bagley III,Marvin,F,PF
615f8557-022f-46ef-9803-3c221ceb1c09,Amari Bailey,Amari,G,PG
003883ca-cd7e-4b58-99d7-6fef54afdfeb,Patrick Baldwin Jr.,Patrick,F,SF
be53f27f-c666-4bd2-8fcd-0713f963aa2b,LaMelo Ball,LaMelo,G,PG
0f1de951-5a0e-4bc7-977c-8dafd0fbf121,Lonzo Ball,Lonzo,G,PG
7c0d2897-7100-4c67-bc47-c0402ca71912,,,,
a6bf9402-7f41-49a9-ab28-fe0bdffb5060,Mo Bamba,Mo,C,C
49d8f5ef-2867-4597-a3ab-5ffc5e651258,Paolo Banchero,Paolo,F,SF
49962b13-0afc-43f5-a3e2-7e37b7736260,Desmond Bane,Desmond,G,SG
6a93a3fd-d10c-4594-a4b5-873fa13f6d99,Dalano Banton,Dalano,F,PG
1fdbceb4-7155-4b2b-8949-1a9ad3c92fb1,,,,
4589f8d1-66cd-4d57-a5b5-c7d130a0b43d,Dominick Barlow,Dominick,F,SF
ce8d0944-b277-499e-9701-02a5f1828615,Harrison Barnes,Harrison,F,SF
1738927f-6ef3-4b23-921d-168b4371f917,Scottie Barnes,Scottie,F,SF
42c5f009-dfd2-4a94-a750-0943791e138e,RJ Barrett,RJ,F-G,SG
85e1279a-77c4-49a7-bfa0-7699e64b581f,,,,
1724ff8d-9e56-473c-ad9c-377ca7215631,,,,
eb063340-43d5-4f5c-8097-fa6e40b6f5e2,Charles Bassey,Charles,C-F,C
194a9cc3-1dce-4c9a-96dd-a2f2505f5fe8,Emoni Bates,Emoni,F,SF
af3416bc-38fb-46ca-9b03-72a88d7fda35,Keita Bates-Diop,Keita,F,SF
a89ac040-715d-4057-8fc0-9d71ad06fa0a,Nicolas Batum,Nicolas,G-F,SF
396ffb80-2326-4c64-850f-84bb93ae15cf,Damion Baugh,Damion,G,SG
bca27365-2b46-470a-aaee-40cf0b096f6e,,,,
2c157857-fffd-4eb5-8e2a-b28ebea8da77,,,,
6687bacd-1bd8-4f76-acdd-b4beac0bf402,Darius Bazley,Darius,F,PF
76c6d03d-f51b-46c1-baaa-2de9557c5c1c,,,,
d3392ee6-cbe4-419e-bbd5-1b658d83e10e,Malik Beasley,Malik,G,SG
fc036630-debc-44bf-9663-03c3fbd3045c,MarJon Beauchamp,MarJon,F,SF
c1bfabbc-cb9d-4f60-95e9-dc864391da3e,Charles Bediako,Charles,C,C
98da4299-956f-4ede-a22a-960adb8b76e9,,,,
11bda3d9-55a2-4489-928a-1648e6231784,,,,
db42a3d8-e493-4f0e-aa9f-149397877fea,,,,
9c6135c7-fab6-45da-a2a2-8e174bb8acb0,Jules Bernard,Jules,G,SG
c1bb78ed-4ce7-4e8c-b30c-06f8148d550a,Davis Bertans,Davis,F,PF
912e7aa3-dd03-4a98-9980-0442e108f287,Patrick Beverley,Patrick,G,PG
d531a451-6377-4942-a26f-3507d60fb36b,Saddiq Bey,Saddiq,G-F,SF
9b3ac681-4960-4898-a8bf-456639a372f9,,,,
a0c9dc3f-6428-45bc-85b9-6577247abef1,,,,
ee9a5825-ccab-4d20-ba5d-903aac41c1dd,,,,
13ef372a-5fd1-4336-9901-12e120a5fbd7,Khem Birch,Khem,C,C
0c977083-fdde-45f1-9406-60aef2a78846,Goga Bitadze,Goga,C-F,C
afd6f073-343c-4e1f-9f77-a187d0c8aff9,Onuralp Bitim,Onuralp,G,SG
a74d9be9-17de-49ce-93db-20034846b31e,,,,
089dc4be-faf1-4d91-9e02-fdb78ed096f3,Anthony Black,Anthony,G,PG
a9aaa4a2-9997-49b3-b54e-bcf5ec66efe5,Leaky Black,Leaky,F,SF
8cee3c73-f765-4000-882d-0c6d0b8acbe3,,,,
fb216550-66a6-4a14-9fe7-44852b5de91c,,,,
156c4ce1-b6d7-42f7-86be-cf96d2763043,Marques Bolden,Marques,C,C
9a572392-b36d-4abd-a52d-98bf7f47c87d,,,,
5693e39f-fb95-4fcc-877e-e131270bcb02,,,,
2c5b32a1-53c3-4403-b579-c6126c7584a7,,,,
31baa84f-c759-4f92-8e1f-a92305ade3d6,Devin Booker,Devin,G,SG
f01d5d8d-f949-437a-a23f-3835c0939ced,Chris Boucher,Chris,F-C,PF
657adf7e-101e-495f-8e37-3790c37f39fd,James Bouknight,James,G,SG
5735b684-0f66-4ad5-8c07-82744ee3e389,Souley Boum,Souley,G,PG
18c4bd7c-e293-4c0a-95d4-5e9983d301b3,,,,
6130d33e-5725-4f5d-8f81-76ecd691a5b2,,,,
b23917d2-bb0d-49fa-a384-80d994561d0c,,,,
ecdd201a-e33b-476e-9325-296cad22ba93,Malaki Branham,Malaki,F,SF
9208711c-a497-4400-8f4a-42b886c19b72,,,,
cbc1a455-6cf8-4174-ace6-b0e250936f74,Christian Braun,Christian,G,SG
0c7bd636-5280-47f4-a7df-cedf5c1d921a,,,,
af8f331b-96a6-416e-8837-b14d5b11c52d,Miles Bridges,Miles,F,SF
83cc5b28-36a7-43ba-ba20-8347bd1de583,Mikal Bridges,Mikal,F,SF
d35e6cac-3a3e-477a-9efb-dbc282b56c5e,Amida Brimah,Amida,C,C
36c27a5d-c5bd-4e81-83b6-c77457103855,Oshae Brissett,Oshae,F-G,SF
